lat,lon,local_sla_trend,class
33.75,10.56,2.88,class_4
33.76,10.55,1.98,class_3
33.77,10.54,2.62,class_4
33.77,10.55,1.71,class_3
33.78,10.54,1.68,class_3
33.79,10.53,2.44,class_4
33.79,10.54,2.61,class_4
33.8,10.53,2.43,class_4
33.81,10.52,2.31,class_4
33.82,10.51,2.57,class_4
33.82,10.52,2.31,class_4
33.83,10.51,1.51,class_3
34.25,-6.74,2.02,class_3
34.26,-6.75,0.92,class_3
34.26,-6.74,2.35,class_4
34.27,-6.75,2.1,class_3
34.28,-6.76,1.92,class_3
34.29,-6.77,1.77,class_3
34.29,-6.76,2.74,class_4
34.3,-6.77,2.91,class_4
34.31,-6.78,2.32,class_4
34.31,-6.77,2.76,class_4
34.32,-6.78,2.18,class_3
34.33,-6.79,2.42,class_4
34.34,-6.8,1.83,class_3
34.34,-6.79,3.3,class_4
34.35,-6.8,3.66,class_4
34.36,-6.81,1.93,class_3
34.36,-6.8,1.63,class_3
34.37,-6.81,2.98,class_4
34.38,-6.81,3.84,class_4
34.38,35.7,5.78,class_5
34.39,35.69,3.62,class_4
34.39,35.7,4.05,class_4
34.4,35.69,2.35,class_4
34.41,35.68,4.11,class_4
34.42,35.67,2.91,class_4
34.42,35.68,3.72,class_4
34.43,35.67,3.22,class_4
34.44,35.66,3.38,class_4
34.44,35.67,2.74,class_4
34.45,35.66,3.3,class_4
34.46,35.65,2.83,class_4
34.47,35.64,3.21,class_4
34.47,35.65,2.47,class_4
34.48,35.64,3.45,class_4
34.49,35.63,2.68,class_4
34.49,35.64,3.29,class_4
34.5,35.63,2.14,class_3
34.51,35.62,2.79,class_4
34.51,35.63,3.57,class_4
34.54,32.43,2.63,class_4
34.55,32.43,4.24,class_4
34.55,32.44,3.07,class_4
34.56,32.44,2.75,class_4
34.57,32.45,2.58,class_4
34.58,32.45,2.54,class_4
34.58,32.46,3.31,class_4
34.59,32.46,3.25,class_4
34.6,32.46,1.6,class_3
34.6,32.47,3.02,class_4
34.61,32.47,2.56,class_4
34.62,32.48,2.68,class_4
34.63,32.48,2.42,class_4
34.63,32.49,1.92,class_3
34.64,32.49,1.98,class_3
34.65,32.49,2.43,class_4
34.65,32.5,2.56,class_4
35.02,24.21,2.0,class_3
35.02,24.22,1.33,class_3
35.03,24.22,1.76,class_3
35.04,24.22,1.47,class_3
35.04,24.23,2.4,class_4
35.05,24.23,1.68,class_3
35.06,24.24,1.86,class_3
35.07,24.24,1.67,class_3
35.07,24.25,1.28,class_3
35.08,24.25,1.7,class_3
35.09,24.25,0.53,class_3
35.09,24.26,1.26,class_3
35.1,24.26,1.41,class_3
35.11,24.27,1.32,class_3
35.11,32.43,2.75,class_4
35.12,24.27,0.11,class_2
35.12,24.28,2.26,class_3
35.12,32.42,3.12,class_4
35.12,32.43,3.09,class_4
35.13,24.28,0.67,class_3
35.13,32.41,2.96,class_4
35.13,32.42,3.17,class_4
35.14,24.28,-0.23,class_2
35.14,24.29,-0.09,class_2
35.14,32.41,3.4,class_4
35.15,24.29,-0.04,class_2
35.15,32.4,3.18,class_4
35.15,32.41,1.53,class_3
35.16,24.3,0.48,class_3
35.16,32.4,3.29,class_4
35.17,-4.46,0.15,class_2
35.17,-4.45,-0.56,class_2
35.17,32.39,3.81,class_4
35.17,32.4,4.13,class_4
35.18,-4.46,0.66,class_3
35.18,32.38,3.57,class_4
35.18,32.39,4.15,class_4
35.19,-4.47,-0.3,class_2
35.19,32.38,3.74,class_4
35.2,-4.48,1.25,class_3
35.2,-4.47,-1.03,class_2
35.2,32.37,3.42,class_4
35.2,32.38,2.47,class_4
35.21,-4.48,0.69,class_3
35.21,32.37,3.46,class_4
35.22,-4.49,-0.81,class_2
35.22,-4.48,0.27,class_3
35.22,-1.65,5.33,class_5
35.22,32.36,3.83,class_4
35.23,-4.49,-0.23,class_2
35.23,-1.66,3.03,class_4
35.23,-1.65,3.79,class_4
35.24,-4.5,0.12,class_2
35.24,-1.67,2.36,class_4
35.24,-1.66,3.19,class_4
